נתוני מסחר - ניירות ערך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שם,מס' ני''ע,סוג ני''ע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איידיאייהנ הת ז,1229350,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איידנטי,1177450, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איידנטי    אפ 4,1217785, כתבי אופציה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון,209015, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילון    אגח ה,1195569,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אייסיאל   אגח ז,2810372,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אייקון גרופ,1182484, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אייראנג'י טק,1105907, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איירטאצ,1173376, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אילקס מדיקל,1080753, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אימאג'סט,1183813, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אימד       אפ 1,1219161, כתבי אופציה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אימד יהש,1171230,יחידת השתתפות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אימקו,282012, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אינטר תעשיות,1080928, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אינטרגאמא,174011, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אינטרקיור,1106376, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אינפליי,1236207, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אינפליי   אגח א,1236249,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אינרום,1132356, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אינרום    אגח א,1230614,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איסתא,1081074, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איסתא אג א,1197128, איגרות חוב להמרה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איסתא נכס אגח א,1232867,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אירודרום קבוצה,363010, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אל על,1087824, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלארום,1083856, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלביט הד  אגח י,1226968,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלביט הד אגח יא,1236314,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלביט הדמיה,1081116, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלביט מע' אגח ב,1178235,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלביט מע' אגח ג,1178250,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלביט מע' אגח ד,1178268,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלביט מערכות,1081124, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלבן השק  אגח א,1235779,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
