ticker,name_en,sector,market_cap_bucket,name_he,security_number,short_name,last_updated
PYMT,,,,פיימנט,1180876,,21/04/2026
PSRX,,,,פסיירקס ביו-טק,1176908,,21/04/2026
PRSP,,,,פרוספקט,1230655,,21/04/2026
PRFD,,,,פרופדו,1188622,,21/04/2026
PTNR,Partner Communications,Telecom,large,פרטנר,1083484,,21/04/2026
PRIO,,,,פריון נטוורק,1095819,,21/04/2026
PRRT,,,,פריורטק,328013,,21/04/2026
PRME,,,,פריים אנרג'י,1174457,,21/04/2026
PRMT,,,,פרימוטק,1175496,,21/04/2026
CNGA,,,,קנדה גלובל,106013,,21/04/2026
QNNON,,,,קנון,1134139,,21/04/2026
KNZN,,,,קנזון-ש,1096007,,21/04/2026
CPTL,,,,קפיטל פוינט,1097146,,21/04/2026
KRDN,,,,קרדן אן.וי-ש,1087949,,21/04/2026
KROR,,,,קרור,621011,,21/04/2026
UNMI,,,,קרסו מוטורס,1123850,,21/04/2026
RBAD,,,,רבד,526012,,21/04/2026
RBUA,,,,רבוע נדלן,1098565,,21/04/2026
RBL,,,,רבל,1103878,,21/04/2026
RMON,,,,רימון,1178722,,21/04/2026
RMNI,,,,רימוני,1080456,,21/04/2026
RMON2,,,,רם און,1090943,,21/04/2026
RAMI,Rami Levy,Retail,large,רמי לוי,1104249,,21/04/2026
RAMI,Rami Levy,Retail,large,רמי לוי נדל''ן,1235001,,21/04/2026
RKCH,,,,רקח,1081009,,21/04/2026
SHDE,,,,שדה נדל''ן,341016,,21/04/2026
SHUV,,,,שוב אנרגיה,1188242,,21/04/2026
SHMN,,,,שמן נדלן,634030,,21/04/2026
SHNP,,,,שנפ,1103571,,21/04/2026
TRPZ,,,,תורפז,1175611,,21/04/2026
THIA,,,,תיא השקעות,796011,,21/04/2026
TQUN,,,,תיקון עולם קנבט,1084367,,21/04/2026
POLI,Bank Hapoalim,Banks,large,בנק הפועלים,,,21/04/2026
LUMI,Bank Leumi,Banks,large,בנק לאומי,,,21/04/2026
MZTF,Mizrahi Tefahot Bank,Banks,large,מזרחי טפחות,,,21/04/2026
DSCT,Bank Discount,Banks,large,בנק דיסקונט,,,21/04/2026
FIBI,First International Bank,Banks,mid,הבנק הבינלאומי הראשון,,,21/04/2026
PHOE,Phoenix Insurance,Insurance,large,הפניקס אחזקות,,,21/04/2026
HARL,Harel Insurance,Insurance,large,הראל ביטוח,,,21/04/2026
MGDL,Migdal Insurance,Insurance,large,מגדל ביטוח,,,21/04/2026
MMHD,Menorah Mivtachim,Insurance,large,מנורה מבטחים,,,21/04/2026
ESLT,Elbit Systems,Defense,large,אלביט מערכות,,,21/04/2026
ICL,ICL Group,Chemicals,large,כימיקלים לישראל,,,21/04/2026
ORL,Bazan Oil Refineries,Energy,large,"בז""ן",,,21/04/2026
DLEKG,Delek Group,Energy,large,דלק קבוצה,,,21/04/2026
PAZ,Paz Energy,Energy,large,פז נפט,,,21/04/2026
NWMD,NewMed Energy,Energy,mid,ניומד אנרגיה,,,21/04/2026
SPEN,Shapir Engineering,Construction,large,שפיר הנדסה,,,21/04/2026
BEZQ,Bezeq,Telecom,large,בזק,,,21/04/2026
AZRG,Azrieli Group,Real Estate,large,קבוצת עזריאלי,,,21/04/2026
AMOT,Amot Investments,Real Estate,large,עמות,,,21/04/2026
ELCO,Elco Holdings,Real Estate,large,אלקו,,,21/04/2026
GVYM,Gav-Yam Lands,Real Estate,mid,גב ים,,,21/04/2026
PTBL,Property and Building,Real Estate,mid,נכסים ובנין,,,21/04/2026
ALRV,Alrov Properties,Real Estate,mid,"אלרוב נדל""ן",,,21/04/2026
SAE,Shufersal,Retail,large,שופרסל,,,21/04/2026
OSEM,Osem,Food,large,אסם,,,21/04/2026
STRS,Strauss Group,Food,large,שטראוס,,,21/04/2026
DELG,Delta Galil,Consumer,large,דלתא גליל,,,21/04/2026
NICE,NICE Systems,Technology,large,נייס מערכות,,,21/04/2026
NVMI,Nova Ltd,Technology,large,נובה,,,21/04/2026
CAMT,Camtek,Technology,mid,קמטק,,,21/04/2026
ALLT,Allot Communications,Technology,mid,אלוט,,,21/04/2026
RDCM,Radcom,Technology,small,ראדקום,,,21/04/2026
SILI,Silicom,Technology,mid,סיליקום,,,21/04/2026
TEVA,Teva Pharmaceutical,Pharma,large,טבע,,,21/04/2026
IDB,IDB Holdings,Holdings,mid,אי.די.בי,,,21/04/2026
CLAL,Clal Insurance,Insurance,large,כלל ביטוח,,,21/04/2026
MIVTX,Mivtach Shamir Holdings,Insurance,large,מבטח שמיר,,,21/04/2026
DIFI,Direct Insurance,Insurance,mid,ביטוח ישיר,,,21/04/2026
ILCO,Israel Corp,Holdings,large,חברה ישראלית,,,21/04/2026
MTAV,Meitav Dash Investments,Finance,large,מיטב דש,,,21/04/2026
SKBN,Shikun & Binui,Construction,large,שיכון ובינוי,,,21/04/2026
MTRX,Matrix IT,Technology,large,מטריקס,,,21/04/2026
PCBT,Priority Software,Technology,mid,פריוריטי,,,21/04/2026
HLWN,Hilan Tech,Technology,mid,היילן,,,21/04/2026
PCOM,Pointer Telocation,Technology,mid,פויינטר,,,21/04/2026
BRND,Brainsway,Pharma,mid,ברינספיי,,,21/04/2026
ZIM,Zim Integrated Shipping,Transport,large,ZIM,,,21/04/2026
SPCE,Spacecom,Telecom,mid,ספייסקום,,,21/04/2026
MVNE,Menivim,Real Estate,mid,מניבים,,,21/04/2026
DRSL,Dor Alon Energy,Energy,mid,דור אלון,,,21/04/2026
AYAL,Ayalon Insurance,Insurance,mid,איילון ביטוח,,,21/04/2026
RMLI,Rami Levy Chain Stores,Retail,large,רמי לוי רשתות,1104249,רמי לוי,21/04/2026
CLIS,Clal Industries,Holdings,large,כלל תעשיות,,,21/04/2026
FTAL,Fattal Hotels,Consumer,large,פתאל,,,21/04/2026
DORL,Dorad Energy,Energy,mid,דוראד אנרגיה,,,21/04/2026
HLAN,Hilan,Technology,mid,הילן,,,21/04/2026
PLSN,Plus500,Finance,large,פלוס500,,,21/04/2026
AFIL,Africa Israel Investments,Holdings,large,אפריקה ישראל,,,21/04/2026
